id_1c;name;factory;country;amount;price;group;description
01001018101000343;Johnson s® baby салфетки Без отдушки 64 шт;JOHNSON & JOHNSON;Германия;1;140;;
01001024301000330;Johnson s® baby шампунь 200мл;JOHNSON & JOHNSON;Италия;1;131;;
01000222701000334;Johnson's® baby "Нежность природы" увлажняющий крем 100 мл;JOHNSON & JOHNSON;ГРЕЦИЯ;1;165;;
01000307501000330;Johnson's® baby ватные палочки 100 шт.;JOHNSON & JOHNSON;Италия;1;73;;
01000298501000302;Johnson's® baby детский крем 85 г;Johnson&Johnson;Франция;1;140;;
01000298601000330;Johnson's® baby масло "Перед сном" с ароматом лаванды 200 мл;JOHNSON & JOHNSON;Италия;1;172;;
01000222301000330;Johnson's® baby масло 200мл;JOHNSON & JOHNSON;Италия;2;172;;
01000222501000330;Johnson's® baby масло с Ромашкой 200 мл;JOHNSON & JOHNSON;Италия;1;172;;
01000298701000334;Johnson's® baby мыло "Перед сном" с ароматом лаванды 100 г;JOHNSON & JOHNSON;ГРЕЦИЯ;1;36;;
01000551801000330;Johnson's® baby салфетки "Нежная забота" 128 шт;JOHNSON & JOHNSON;Италия;1;220;;
01000562301000330;Johnson's® baby салфетки "Нежная забота" 64 шт;JOHNSON & JOHNSON;Италия;1;120;;
01000221501000329;Johnson's® baby салфетки «Особый уход» с Алое и Кипреем 24 шт;JOHNSON & JOHNSON;Великобритания;1;120;;
01000224001000330;Johnson's® baby шампунь с Ромашкой 200 мл;JOHNSON & JOHNSON;Италия;1;131;;
01000223001000334;Johnson`s® baby мыло с медом 100г;JOHNSON & JOHNSON;ГРЕЦИЯ;1;36;;
01000226301000337;Neutrogena® Visibly Clear Гель-аппликатор от прыщей 15 мл;JOHNSON & JOHNSON;Испания;1;365;;
01000226101000302;Neutrogena® Visibly Clear Гель-маска 2 в 1 150 мл;Johnson&Johnson;Франция;1;386;;
01000226601000302;Neutrogena® Visibly Clear Ежедневный Скраб от черных точек 150 мл;Johnson&Johnson;Франция;1;340;;
01000226801000337;Neutrogena® Visibly Clear Лосьон тройного действия 200 мл;JOHNSON & JOHNSON;Испания;1;268;;
01000226201000302;Neutrogena® Visibly Clear Нежный отшелушивающий гель 150 мл;Johnson&Johnson;Франция;1;322;;
01000672200000722;NIVEA бальзам д/губ Essential 4,8г;Beiersdorf AG;Германия;2;88;;
01000625800000722;NIVEA крем-гель д/душа Моменты радости 250 мл;Beiersdorf AG;Германия;1;116;;
01000626000000722;NIVEA крем-мыло детское мягкое 100г;Beiersdorf AG;Германия;1;45.5;;
01000764801000232;RoC® Retin-Ox крем от морщин дневной/ночной 30 мл.;RoC®;Франция;1;1673.5;;
01000999701000232;RoC® Комплит Лифт Роликовый крем-лифтинг для лица и шеи 50 мл.;RoC®;Франция;1;1490;;
01000133201000232;RoC® Комплит Лифт. Дневной увлажняющий крем. Подтягивающий и повышающий упругость кожи 50 мл 50 мл.;RoC®;Франция;1;1633;;
01000133301000232;RoC® Комплит Лифт. Ночной крем. Подтягивающий и повышающий упругость кожи 50 мл 50 мл.;RoC®;Франция;1;1572.5;;
01000969101000232;RoC® Комплит Лифт. роликовый крем-лифтинг для контура глаз 15 мл;RoC®;Франция;1;1198.5;;
01000999601001641;RoC® Мульти Коррексьон Ультра восстанавливающий антивозрастной крем комплексного действия 50 мл.;RoC®;ГРЕЦИЯ;1;1380;;
01000765001000232;RoC® Мультикоррексьон крем для контура глаз 15 мл;RoC®;Франция;1;1022;;
01000764901000232;RoC® Мультикоррексьон увлажняющ крем от морщин 50мл;RoC®;Франция;1;1453;;
01000133901000232;RoC® Очищающий пенящийся гель для лица 150 мл 150 мл.;RoC®;Франция;1;561;;
01000969001000232;RoC® Пуриф-Ак Лосьон-эксфолиант 200 мл.;RoC®;Франция;1;599;;
01000946901000414;SILKOPLAST перцовый пластырь 10*18 см;Changzhou Hualian Health Dressing Co. Ltd, КНР;Китай;11;24;;
01000947001000414;SILKOPLAST перцовый пластырь 6*10 см;Changzhou Hualian Health Dressing Co. Ltd, КНР;Китай;11;10;;
01000255801000385;VEET крем д/депил. в душ.д/сух.кож 150мл;Reckitt Benckiser Healthcare - Великобри;Франция;1;244.5;;
00000772500000470;А-пар аэр. 125г;SCAT Laboratories;Франция;2;422;Прочие препараты для уничтожения эктопаразитов;
01000128500000534;А-Церумен фл-кап 2мл №5 д/пром. уш.прох;Laboratoires Gilbert;Франция;1;240;;
00000038000000014;Абактал таб. 400мг №10;Lek Pharma;Словения;1;158;Фторхинолоны;
01000928601001486;Авамис 27,5мкг/доза назал спрей 120доз;Глаксо Оперэйшенс;Великобритания;1;510;;
00000496800000009;Авелокс таб. п/о 400мг №5;Bayer AG;Германия;2;1280;Фторхинолоны;
01000594201000632;АВЕНТ волшебная чашка с ручками 200мл 6мес.;Cannon Rubber Ltd;Великобритания;1;395.5;;
01000685401000306;АВЕНТ накладки на сосок защитные уп. 2шт;Cannon Rubber;Великобритания;2;267;;
00000726500000198;АВИА-МОРЕ таб. №20 (от укачивания в транспорте);Материа Медика;Россия;3;51;Препараты от морской и воздушной болезни;
01000830201000776;Автозагар молочко экспресс д/лица и тела 125мл;Флоресан ООО;Россия;1;135;;
00000043001000778;Агапурин др. 100мг №60;Зентива а.с;Словакия;1;150;Пурины;
00000043100000064;Агапурин ретард таб. 400мг №20;Slovakofarma;Словакия;1;189;Пурины;
00000197400000198;АГРИ (антигриппин гомеопатический) 10г+10г;Материа Медика;Россия;5;61;Другие комбинированные препараты, применяемые при простудных заболеваниях;
00000395100000198;АГРИ детский (антигриппин гомеопатический) 20г;Материа Медика;Россия;1;42.5;Другие комбинированные препараты, применяемые при простудных заболеваниях;
00000766700000198;АГРИ детский таб. №40;Материа Медика;Россия;2;65;Другие комбинированные препараты, применяемые при простудных заболеваниях;
01000826100000304;АД минус таб №40;Эвалар;Россия;1;115;;
01000336601000451;АД Норма капс 0,24г №60;ГНЦ ПМ Фарма;Россия;1;247;;
01000603200000167;Адаптол таб. 0,5 №20;Олайнский ХФЗ;Латвия;1;340;;
00000511400000102;Адвантан крем 0,1% туба 15г;Schering AG;Германия;2;401;Кортикостероиды слабоактивные (группа I);
00000199600000102;Адвантан мазь 15г;Schering AG;Германия;3;397.5;Кортикостероиды слабоактивные (группа I);
00000511601000153;Адвантан мазь жирная 0,1% туба 15г;Intendis Manufacturing Spa;Италия;3;405;Кортикостероиды слабоактивные (группа I);
00000511600000102;Адвантан мазь жирная 0,1% туба 15г;Schering AG;Германия;3;392;Кортикостероиды слабоактивные (группа I);
00000511500000102;Адвантан эмульсия д/наруж. прим. 0,1% туба 20г;Schering AG;Германия;2;445.5;Кортикостероиды слабоактивные (группа I);
00000156701001278;Адреналина г/хл амп. 0,1% 1мл №5;СИШУИ КСИРКАНГ ФАРМАСЬЮТИКАЛ КО.ЛТД;Китай;2;56;Адрено- и допаминомиметики;
00000506200000368;Адрианол капли назальные д/взрослых фл. 10мл;Zdravle;Югославия;1;68;Симпатомиметики в комбинации с другими препаратами (исключая кортикостероиды);
00000506300000368;Адрианол капли назальные д/детей фл. 10мл;Zdravle;Югославия;1;83;Симпатомиметики в комбинации с другими препаратами (исключая кортикостероиды);
00000451300000478;Аевит капс. 0,2г №10;Люми ООО;Россия;4;18;Комбинации витаминов;
00000662201000909;Аевит капс. №20 /масл. р-р вит. А и Е/;Минскинтеркапс ПРУП;Беларусь;15;37;Комбинации витаминов;
01000818701000014;Азитрокс капс 500мг №3;Фармстандарт-Лексредства ОАО;Россия;2;265;;
00000737101000894;Азитрокс капс. 250мг №6;Фармстандарт Томскхимфарм ОАО;Россия;2;249;Макролиды;
01000011601000007;Азитромицин капс. 250мг №6;ВЕРТЕКС ЗАО;Россия;2;114.5;;
00000635200000196;Азопт гл. сусп. 1% фл. 5мл с капельницей-дозатором;Alcon;Сша;1;610;Бета-адреноблокаторы;
00000487800000741;Аир корневище пачка 50г;Фитофарм НЦ;Россия;1;32.5;Препараты растительного происхождения, стимулирующие аппетит;
01000017901000044;Аира Корневища фильтр-пакет 1,5 №20;Красногорсклексредства ОАО;Россия;3;37.5;;
01001032500000275;Аква Марис соль морская обогащ. травами для пром. носа к уст-ву саше 2,97г №30;Jadran;Хорватия;1;310;;
01001032600000275;Аква Марис устр-ство для пром. носа (емкость 330мл+морская соль саше №30);Jadran;Хорватия;1;380;;
00000683300000275;Аква-Марис капли в нос д/детей 10мл (вода морская);Jadran;Хорватия;3;110;Прочие сопутствующие товары;
00000558200000275;Аква-Марис спрей 30мл д/носа (вода морская);Jadran;Хорватия;3;210;Прочие сопутствующие товары;
01000889701000422;Аквалор mini Алоэ вера+Римская ромашка спрей 50мл;YS LAB;Франция;3;236;;
01001010501000422;Аквалор беби д/детей капли 15мл;YS LAB;Франция;1;125;;
01000283801000422;Аквалор норм спрей 125мл;YS LAB;Франция;2;346;;
01000359101000422;Аквалор софт 125мл;YS LAB;Франция;1;340;;
01001010800000853;Аквалор софт мини для носа спрей 50мл;Фармамед ЗАО;Россия;2;210;;
01000999101001638;Аквалор форте мини 50мл;Аурена  лабораторис эйби;Франция;1;222;;
01001010601001686;Аквалор форте спрей 125мл;Aurena laboratories ab;Швеция;2;400;;
01000444401000627;Аккузид таб. 0,02+0,0125 №30;Гедеке ГмбХ;Германия;1;278;;
00000369701000627;Аккупро таб. п/о 10мг №30;Гедеке ГмбХ;Германия;1;487;Ингибиторы АПФ;
00000369800000286;Аккупро таб. п/о 20мг №30;Parke-Davis;Германия;1;360;Ингибиторы АПФ;
00000732800000038;Акридерм крем 0,064% 15г туба;Акрихин;Россия;2;95;Кортикостероиды высокоактивные (группа III);
01000906900000362;Актипол глаз капли 0,007% 5мл;Диафарм;Россия;2;117;;
01000909901000037;Актовегин 5мл р-р д/ин. Амп. №5;Nycomed;Австрия;3;530;;
00000116600000142;Актовегин гель 20% 20г;Nycomed Pharma;Норвегия;2;183;Прочие препараты для лечения заболеваний кожи;
00000116500000142;Актовегин крем 5% 20г;Nycomed Pharma;Норвегия;3;136;Прочие препараты для лечения заболеваний кожи;
01000703101000981;Актовегин таб. п/об. 200 мг №50;Nycomed Austria GmbH;Австрия;4;1850;;
01000793500000124;Актрапид НМ 100ед\мл 10мл;Novo Nordisk;Дания;4;438;;
01000793400000124;Актрапид НМ Пенфилл 100ед\мл 5х3мл;Novo Nordisk;Дания;2;1039;;
01000985301001360;Акцент-актив помада гигиеническая антигерпесная с uv -фильтром зеленый чай 4г.;ФТК СТД РФ (ВТО) ООО;Россия;2;25;;
01000919401000457;АЛИСА КРЕМ ДЕТСКИЙ 40Г;Свобода Ао;Россия;1;28.5;;
00000776500000566;Алисат таб. №60;Инат Фарма;Россия;1;52.5;БАД, способствующие нормализации липидного обмена;
00000012200000009;Алка-зельцер шип. таб. №10;Bayer AG;Германия;2;165;Салициловая кислота и её производные;
00000232800000172;Аллапинин таб. 0,025г №30;ВИЛАР;Россия;2;494;Прочие антиаритмические препараты I класса;
00000193000000195;Аллергодил спрей назальный 10мл;ASTA Medica;Германия;1;271;Противоаллергические препараты (исключая кортикостероиды);
01000671501000942;Алломедин гель д/ухода за кожей 3г;Росбио Спб ООО;Россия;1;355;;
00000225400000143;Аллопуринол таб. 0,1г №50;Органика;Россия;2;90;Ингибиторы синтеза мочевой кислоты;
00000588500000003;Аллопуринол-Эгис таб. 100мг №50;Egis;Венгрия;2;100;Ингибиторы синтеза мочевой кислоты;
01000422800000003;Аллопуринол-Эгис таб. 300мг №30;Egis;Венгрия;1;126;;
00000356600000117;Аллохол таб. п/о №10;Дальхимфарм;Россия;10;18.5;Прочие препараты для лечения заболеваний желчевыводящих путей;
00000356601000853;Аллохол таб. п/о №10;Фармстандарт-Томскхимфарм;Россия;10;12;Прочие препараты для лечения заболеваний желчевыводящих путей;
00000386300000049;Аллохол таб. п/о №24;Мосхимфармпрепараты;Россия;5;55;Прочие препараты для лечения заболеваний желчевыводящих путей;
00000012000000096;Аллохол таб. п/о №50;Белмедпрепараты;Белоруссия;1;74.5;Прочие препараты для лечения заболеваний желчевыводящих путей;
00000346400000207;Алоэ сок фл. 50мл;Вифитех ПКП ТОО;Россия;2;93;Прочие препараты для лечения заболеваний ЖКТ и нарушений обмена веществ;
00000072500000117;Алоэ экстракт жидк. амп. 1мл №10;Дальхимфарм;Россия;3;63;Прочие препараты для лечения заболеваний ЖКТ и нарушений обмена веществ;
00000352201000025;Алтей корень 50г;Иван Чай ЗАО;Россия;2;37.5;Отхаркивающие и противопростудные препараты растительного происхождения;
00000407000000205;Алтей корни пачка 75г;Красногорский з-д ЛРС;Россия;1;56;Отхаркивающие и противопростудные препараты растительного происхождения;
00000621201001136;Алтейный сироп 2% фл. 125г;Вифитех ЗАО;Россия;3;35.5;Отхаркивающие препараты;
00000621200000083;Алтейный сироп 2% фл. 125г;Синтез;Россия;3;41.5;Отхаркивающие препараты;
01000047800000707;Алфавит 50+ табл №60;Аквион ЗАО;Россия;1;220;;
01000041700000707;Алфавит Диабет таб. №60;Аквион ЗАО;Россия;2;194;;
01000042000000707;Алфавит Мамино здоровье таб. №60;Аквион ЗАО;Россия;1;215;;
01000281200000707;Алфавит Оптикум таб. №60;Аквион ЗАО;Россия;1;291.5;;
01000526900000707;Алфавит с фруктовым вкусом таб. №60;Аквион ЗАО;Россия;2;180;;
00000800200000563;АлфаВит таб. №120;Аква-МДТ/Аквион;Россия;1;290;БАД - источники поливитаминов, содержащие отдельные минералы и минеральные комплексы;
00000781200000563;АлфаВит таб. №60;Аква-МДТ/Аквион;Россия;4;170;БАД - источники поливитаминов, содержащие отдельные минералы и минеральные комплексы;
01000018100000707;Алфавит Школьник таб. №60;Аквион ЗАО;Россия;1;215;;
01000944601000924;Алфлутоп амп 10мг/мл №5;К.О.Ромфарм Компани С.р.Л;Румыния;1;1305;;
00000326400000262;Алфлутоп амп. 10мг/мл №10;Biotechnos SA;Румыния;1;1425;Прочие препараты, снижающие проницаемость капилляров;
01000998001001160;Альбадент бальзам д/полости рта п/кариеса д/дет фл пласт 400 мл №1 тройн защита;Вита ХБО при РАН ООО;Россия;1;95;;
01000699800000833;Альбадент бальзам д/профилактики пародонтоза с мумие фл 400мл;Витал;Россия;1;110;;
01000914501001160;Альбадент бальзам д/чувств. десен Камень-контроль фл. 400мл;Вита ХБО при РАН ООО;Россия;1;100;;
00000529000000391;Альгирем (Ремантадин) сироп д/детей 0,2% фл. 100мл;Олифен/Мастерлек;Россия;2;234;Циклические амины;
00000045500000023;Альдецин инг. 50мкг 200доз;Schering-plough;Сша;1;243.5;Глюкокортикоиды;
00000307800000018;Алька-Прим шип. таб. №10;Polfa;Польша;1;142;Салициловая кислота и её производные;
00000098300000074;Альмагель А фл. 170мл;Balkanpharma;Болгария;2;127;Антациды в комбинации с другими препаратами;
00000608200000074;Альмагель нео сусп. фл. 170мл;Balkanpharma;Болгария;2;130;Антациды в комбинации с другими препаратами;
00000052400000074;Альмагель фл. 170мл;Balkanpharma;Болгария;1;91.85;Антациды в комбинации с другими препаратами;
00000441800000321;Альфа Д3-Тева капс. 0,25мкг №30;Teva Pharmaceutical;Израиль;2;326;Витамин D и его производные;
00000720900000396;Альфадол-Са капс. №30;Panacea Biotec;Индия;1;323;Витамины в комбинации с минеральными веществами;
01000529701000729;Амарантус капс. №30;Ньюман нутриентс  АГ, ООО;Россия;1;173;;
00000107500000058;Амбробене амп. 15мг №5;Ludwig Merckle;Германия;3;170.5;Муколитики;
00000424200000058;Амбробене р-р д/приема внутрь 7,5мг/мл фл. 40мл;Ludwig Merckle;Германия;1;140;Муколитики;
00000071000000058;Амбробене сироп 15мг\5мл 100мл;Ludwig Merckle;Германия;3;131.9;Муколитики;
00000071000000316;Амбробене сироп 15мг\5мл 100мл;Ratiopharm;Германия;3;140.5;Муколитики;
00000107100000058;Амбробене таб. 30мг №20;Ludwig Merckle;Германия;1;92;Муколитики;
00000379200000125;Амброгексал сироп фл. 3мг/мл 100мл;Hexal;Германия;4;124.5;Муколитики;
00000319700000125;Амброгексал таб. 30мг №20;Hexal;Германия;2;84;Муколитики;
00000599700000531;Амброксол таб. 30мг №20;Озон ООО;Россия;2;20;Муколитики;
00000189300000169;Амбросан таб. 30мг №20;Pro.Med.Cs;Чехия;1;75;Муколитики;
00000751600000082;Амигренин таб. 100мг №2;Верофарм;Россия;2;330;Селективные агонисты 5НТ1-рецепторов;
00000763500000082;Амигренин таб. 50мг №2;Верофарм;Россия;2;210;Селективные агонисты 5НТ1-рецепторов;
00000370200000143;Аминалон таб. п/о 0,25г №100;Органика;Россия;1;135;Производные жирных кислот;
01000919900000117;Аминокапроновая к-та 5% 100мл;Дальхимфарм;Россия;1;54.5;;
00000068100000117;Аминокапроновая кислота фл. 5% 100мл;Дальхимфарм;Россия;8;58;Аминокислоты;
00000749501001394;Амиодарон таб. 200мг №30;АВВА РУС, ОАО;Россия;2;60;Антиаритмические препараты III класса;
01000028901000007;Амлодипин 10мг №30;ВЕРТЕКС ЗАО;Россия;2;41.5;;
01000042101000007;Амлодипин 5мг №30;ВЕРТЕКС ЗАО;Россия;4;28.9;;
01000042100000339;Амлодипин 5мг №30;Канонфарма Продакшн;Россия;4;72.5;;
01000379101000527;Амлорус /Амлодипин/ 5мг таб. №30;Синтез (Курган) ОАО;Россия;1;80;;
01000042200000519;Амлотоп таб. 10мг №30;Макиз-Фарма ЗАО;Россия;2;178.5;;
01000011800000519;Амлотоп таб. 5мг №30;Макиз-Фарма ЗАО;Россия;2;107.5;;
01000910501000631;Аммиака р-р 10% фл. 40мл;Фармацевтическая фабрика ОАО (Санкт-Петербург);Россия;4;18;;
00000635001001298;Аммиака раствор 10% фл. 40мл;Ватхэм-Фармация ООО;Россия;1;19.5;Дыхательные стимуляторы;
01000799500000109;Амоксиклав Квиктаб таб 500+125мг №14;Lek;Словения;2;408;;
00000182300000014;Амоксиклав пор. д/сусп. 156,25мг/5мл фл. 100мл;Lek Pharma;Словения;2;122.5;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз);
00000291900000014;Амоксиклав пор. д/сусп. форте 312,5 мг/5мл фл. 100мл;Lek Pharma;Словения;2;317.5;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз);
00000738100000014;Амоксиклав таб. 1000мг №14;Lek Pharma;Словения;4;448;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз);
00000182400000014;Амоксиклав таб. 375мг №15;Lek Pharma;Словения;1;244;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз);
00000292000000014;Амоксиклав таб. 625мг №15;Lek Pharma;Словения;1;408;Комбинации пенициллинов (в т.ч. с ингибиторами бета-лактамаз);
00000108801001479;Амоксициллин капс. 250мг №16;ХЕМОфАРМ А.Д;сербия и черногория;3;56;Пенициллины широкого спектра действия;
00000108900000105;Амоксициллин капс. 500мг №16;Hemofarm;Югославия;4;101.5;Пенициллины широкого спектра действия;
00000108901000071;Амоксициллин капс. 500мг №16;Барнаульский завод медпрепаратов;Россия;4;79;Пенициллины широкого спектра действия;
01000759501000071;Амоксициллин таб 500 мг №20;Барнаульский завод медпрепаратов;Россия;3;59.5;;
00000582301000071;Амоксициллин таб. 250мг №20;Барнаульский завод медпрепаратов;Россия;3;32;Пенициллины широкого спектра действия;
01001035901000527;Ампициллин 1000мг Пор. д/приг. р-ра д/вв/вм введ. Фл. №1;Синтез (Курган) ОАО;Россия;9;16.5;;
01000337300000020;Амприлан таб 1,25мг №30;KRKA;Словения;3;115;;
01000337400000020;Амприлан таб 5мг №30;KRKA;Словения;2;210;;
01000340100000020;Амприлан таб. 10мг №30;KRKA;Словения;3;275;;
01000336001000195;Амприлан таб. 2,5мг №30;КРКА д.д;Словения;1;151;;
01000911401000017;Анальгин 50% 2мл р-р д/ин. Амп. №10;Борисовский завод;Беларусь;4;50;;
00000041500000158;Анальгин таб. 500мг №10;Марбиофарм;Россия;16;7;Пиразолоны;
00000942800000593;Ананас плюс таб. 0,45г №150;Экко плюс;Россия;2;440;БАД общеукрепляющего действия;
01000818301000723;Ананас экстр таб 0.22г №40;Эвалар ЗАО;Россия;3;119.5;;
00000517800000060;Анаприлин таб. 40мг №100;Биосинтез;Россия;1;20;Неселективные бета-адреноблокаторы;
00000303300000252;Анауран капли ушные фл. 25мл;Zambon;Италия;1;202;Противомикробные препараты;
01000010500000198;Анаферон взрослый таб. №20;Материа Медика;Россия;19;138;;
00000753000000198;Анаферон детский таб. №20;Материа Медика;Россия;14;142.5;Прочие цитокины и иммуномодуляторы;
01000918200000828;АНГЕЛИНА ПЛАТОЧКИ НОСОВЫЕ БУМАЖНЫЕ №10;Мед Пол ООО;Россия;1;5;;
01000969300000149;Ангиовит таб. п/об. №60;Алтайвитамины;Россия;1;220;;
01000656800000002;Анданте капс. 10мг №7;Gedeon Richter;Венгрия;1;250;;
00000397800000491;Андипал таб. №10;Асфарма;Россия;4;6.64;Пиразолоны;
00000051300000071;Анестезол свечи №10;Нижфарм ОАО;Россия;1;38;Препараты, содержащие анестетики;
00000381600000252;Антаксон капс. 50мг №10;Zambon;Италия;3;1242;Антидоты;
01000119400000263;Анти-ангин пастилки №12;Natur Produkt;Франция;1;60;;
01000815601001513;Анти-ангин пастилки №24;Natur Produkt Europa B.V.;Нидерланды;3;95;;
00000330100000263;Анти-ангин таб. №20;Natur Produkt;Франция;3;80;Антисептики;
00000932700000747;Анти-полицай таб. №2;NU-BREATH Inc.;Сша;7;20;БАД различных групп;
01000925501001125;Антигриппин взр. пор. №10 ромашка;Натур Продукт Фарма СП.ЗО.О;Польша;1;131;;
00000412600000263;Антигриппин детский шип. таб. №10;Natur Produkt;Франция;2;110;Другие комбинированные препараты, применяемые при простудных заболеваниях;
01000790201001125;Антигриппин таб шип №10 /грейпфрут/;Натур Продукт Фарма СП.ЗО.О;Польша;2;130;;
01000790301001125;Антигриппин таб шип №10 /малина/;Натур Продукт Фарма СП.ЗО.О;Польша;2;120;;
00000330301001617;Антигриппин шип. таб. №10;Natur Produkt /НП-Логистика;Польша;1;120;Другие комбинированные препараты, применяемые при простудных заболеваниях;
00000669701000094;Антигриппин-АНВИ капс. №20;Фармпроект ЗАО;Россия;2;86;Другие комбинированные препараты, применяемые при простудных заболеваниях;
01000018400000499;Антигриппин-Максимум капс. №20;Антивирал;Россия;1;250;;
01000986101000426;Антигриппин-Максимум пак лимон №12;ЗиО-Здоровье ЗАО;Россия;2;250;;
01000986501001193;Антигриппин-максимум пор малина 5г №12;ФармВилар;Россия;1;225;;
01000254101000045;Антиполицай +энергия кофе карамель леден.№2 по 1,6г;Балтимор ПФК;Россия;2;25;;
01000018601000045;Антиполицай 5г таб. №4;Балтимор ПФК;Россия;1;36;;
01000959401000674;Антиполицай Генерал Смелов таб №12;Инат-фарма ООО;Россия;1;58;;
00000910401000674;Антипохмелин "Антип" таб. 0,5г №6;Инат-фарма ООО;Россия;3;40;БАД различных групп;
01000018801000046;Антистакс 180мг капс. №100;Pharmaton;Швейцария;1;1360;;
01000019001000046;Антистакс 180мг капс. №50;Pharmaton;Швейцария;1;800;;
01000417000000061;Антистакс гель 125мл/100г;Boehringer Ingelheim;Германия;1;669;;
01001010101001685;Антихрап Доктор Храп экс пластырь д/носа №10 р. средний/большой;Shanghai toh-medical medical;Китай;1;210;;
01001007401000131;Антихрап Доктор Храп экстракт шалфея спрей 60мл;МИРРА ООО;Россия;1;258;;
00000051100000071;Анузол свечи №10;Нижфарм ОАО;Россия;3;36.5;Прочие препараты для лечения геморроя для местного применения;
00000287400000139;Апилак таб. 10мг №25;Таллиннский ХФЗ;Эстония;1;90;Общетонизирующие препараты;
01000922101001242;Апифарм Элитный средство д/носа 10мл.;ПТФ Фармаком ООО;Украина;3;61;;
00001052100000843;Аппарат виброакустический "Витафон";Импекс РТК ООО;Россия;1;2577;Прочие изделия медицинского назначения;
01000432901000014;Арбидол капс 100мг №10;Фармстандарт-Лексредства ОАО;Россия;14;209.5;;
01000928101000014;Арбидол капс. 0,1 №40;Фармстандарт-Лексредства ОАО;Россия;1;729;;
01000784501000853;Арбидол таб 50 мг №20;Фармстандарт-Томскхимфарм;Россия;2;240;;
00000741201000894;Арбидол таб. п/о 50мг №10;Фармстандарт Томскхимфарм ОАО;Россия;11;120.5;Прочие цитокины и иммуномодуляторы;
01000019600000018;Аргосульфан крем 2% туба 15г;Polfa;Польша;1;211;;
00000360100000076;Арифон ретард таб. п/о 1,5мг №30;Servier;Франция;6;332;Сульфонамиды;
00000055100000076;Арифон таб. п/о 2,5мг №30;Servier;Франция;1;433;Сульфонамиды;
01000843501000703;Аромалампа Фонарик;Арома-Стиль ООО;Россия;1;335;;
01000030600000634;Артро-актив крем-бальзам питающий 35,0;Диод ОАО;Россия;2;104;;
01001017601000864;Артрозан р-р вм 6мг/мл амп 2,5мл №3;Фармстандарт-Уфимский витам.з-д;Россия;4;237;;
01000825401000014;Артрозан таб 15мг №20;Фармстандарт-Лексредства ОАО;Россия;5;220;;
01000010700000198;Артрофоон таб. №40;Материа Медика;Россия;1;120.5;;
01000887800000752;Артроцин гель 50мл;ВИС;Россия;1;125;;
00000119000000145;Арутимол гл. капли 0,25% 5мл;Ankerpharm;Германия;1;63;Бета-адреноблокаторы;
00000119100000145;Арутимол гл. капли 0,5% 5мл;Ankerpharm;Германия;2;89;Бета-адреноблокаторы;
